time,best,finalized
17:23:14.382,1045441,1044992
17:23:19.384,1048455,1048064
17:23:24.385,1050631,1050624
17:23:29.385,1051742,1051648
17:23:34.386,1053748,1053696
17:23:39.386,1056649,1056256
17:23:44.386,1059328,1059328
17:23:49.393,1059464,1059328
17:23:54.393,1061888,1061888
17:23:59.394,1061888,1061888
17:24:04.394,1064848,1064448
17:24:09.394,1064848,1064448
17:24:14.394,1064848,1064448
17:24:19.395,1064848,1064448
17:24:24.395,1064848,1064448
17:24:29.395,1064848,1064448
17:24:34.396,1064848,1064448
17:24:39.396,1064848,1064448
17:24:44.396,1064848,1064448
17:24:49.396,1064848,1064448
17:24:54.397,1064848,1064448
17:24:59.397,1064848,1064448
17:25:04.397,1064848,1064448
17:25:09.397,1064848,1064448
17:25:14.398,1064848,1064448
17:25:19.398,1064848,1064448
17:25:24.398,1064848,1064448
17:25:29.399,1064848,1064448
17:25:34.399,1064848,1064448
17:25:39.399,1064848,1064448
17:25:44.399,1064848,1064448
17:25:49.400,1064848,1064448
17:25:54.400,1064848,1064448
17:25:59.400,1064848,1064448
17:26:04.401,1064848,1064448
